German,English
mädchen ,girl 
hin ,there 
sollen ,should 
abend ,evening 
haus ,a house 
denke ,think 
viele ,many 
drei ,three 
deinen ,your
freund ,friend 
guten ,good 
unser ,our 
warte ,wait
machst ,do
menschen ,people 
essen ,eat 
angst ,fear 
bleiben ,remain 
zusammen ,together 
welt ,world 
unter ,under 
habt ,have
schnell ,fast 
andere ,other
tot ,dead
getan ,did 
darf ,may 
erst ,first 
rein ,pure 
stimmt ,true 
nehmen ,take 
kinder ,children 
eines ,one
glauben ,believe 
bringen ,bring 
ganze ,whole 
genug ,enough 
scheiße ,shit
brauchen ,need 
gegen ,against 
moment ,moment
junge ,boy 
steht ,stands 
sonst ,otherwise 
musik ,music
arbeit ,work 
seid ,are 
ihrer ,their
fragen ,questions 
herr ,Mr 
dabei ,included 
heißt ,is called 
familie ,family 
warten ,wait 
niemand ,no one 
sofort ,immediately 
bevor ,before 
jahre ,years 
einmal ,once 
problem ,problem
sohn ,son 
wann ,When 
brauche ,need 
fertig ,complete 
halt ,stop 
allein ,alone 
beim ,at the 
sprechen ,speak 
beide ,both 
gefunden ,found 
hatten ,had
sache ,matter 
hilfe ,help 
verdammt ,damned 
ne ,no
jeder ,everyone 
warst ,were
gern ,gladly 
konnte ,could 
darüber ,about it 
halten ,hold 
siehst ,see
verstehe ,understand 
jahren ,years
kam ,came 
kind ,child
wusste ,knew
wahr ,true 
seinen ,his
dazu ,in addition 
bruder ,brother 
daran ,to it 
ihrem ,their
denken ,think
könnten ,could
dank ,thanks to 
würden ,would 
lieber ,Dear 
fall ,case
deiner ,your
